# Y-M-D_T_H:M:S       ObsNum  Receiver   ObsGoal      ObgPgm      SourceName                ProjectId                   RestFreq      VLSR    TINT    RA          DEC        AZ     EL   A1 E1
2023-02-17T05:25:07   105898  SEQ        Calibration  Cal         IRAS04209+4800            2023-S1-UM-15                   86.2434   -15       5.1   66.168350  48.123419  315.5  31.2  239.76 0
2023-02-17T05:25:36   105899  SEQ        Pointing     Map(Az/D)   IRAS04209+4800            2023-S1-UM-15                   86.2434   -15      81.6   66.168350  48.123419  315.5  31.0  239.76 0
2023-02-17T05:29:36   105900  SEQ        Calibration  Cal         IRAS04209+4800            2023-S1-UM-15                   86.2434   -15       5.0   66.168350  48.123419  315.4  30.3  239.76 0
2023-02-17T05:30:04   105901  SEQ        Pointing     Map(Az/D)   IRAS04209+4800            2023-S1-UM-15                   86.2434   -15      83.1   66.168350  48.123419  315.4  30.2  239.76 0
2023-02-17T05:41:38   105902  SEQ        Calibration  Cal         RT-Vir                    2023-S1-UM-15                   86.2434    14       5.0  195.658265   5.185566  154.2  29.1  239.76 0
2023-02-17T05:45:33   105904  SEQ        Calibration  Cal         IRAS04209+4800            2023-S1-UM-15                   86.2434   -15       5.0   66.168350  48.123419  315.2  28.1  239.76 0
2023-02-17T05:46:02   105905  SEQ        Pointing     Map(Az/D)   IRAS04209+4800            2023-S1-UM-15                   86.2434   -15      85.0   66.168350  48.123419  315.2  27.6  239.76 0
2023-02-17T05:51:57   105906  SEQ        Calibration  Cal         HB114_13CO                2023-S1-UM-15                  115.2712   -47       5.0    0.000000   0.000000  315.3  28.8  0 0
2023-02-17T05:52:26   105907  SEQ        Science      Map(L/C)    HB114_13CO                2023-S1-UM-15                  115.2712   -47    2644.6    0.000000   0.000000  315.3  28.4  0 0
2023-02-17T06:52:50   105908  SEQ        Science      Map(B/C)    HB114_13CO                2023-S1-UM-15                  115.2712   -47     181.5    0.000000   0.000000  315.8  18.4  0 0
2024-03-13T03:30:30   112928  SEQ        Calibration  Cal         TX-Cam                    2023-S1-UM-15                   86.2434    12       5.0   75.213154  56.181693  327.6  37.5  239.76 0
2024-03-13T03:31:08   112929  SEQ        Pointing     Map(Az/D)   TX-Cam                    2023-S1-UM-15                   86.2434    12     141.0   75.213154  56.181693  327.3  37.0  239.76 0
2024-03-13T03:42:21   112930  SEQ        Calibration  Cal         HB46                      2023-S1-UM-15                  110.2014   -59       5.0    0.000000   0.000000  321.9  28.2  0 0
2024-03-13T03:42:59   112931  SEQ        Science      Map(L/C)    HB46                      2023-S1-UM-15                  110.2014   -59    1571.0    0.000000   0.000000  321.9  28.1  0 0
2024-03-14T03:14:25   113059  SEQ        Calibration  Cal         TX-Cam                    2023-S1-UM-15                   86.2434    12       5.1   75.213154  56.181693  328.3  38.7  239.76 0
2024-03-14T03:15:00   113060  SEQ        Pointing     Map(Az/D)   TX-Cam                    2023-S1-UM-15                   86.2434    12     139.6   75.213154  56.181693  328.2  38.5  239.76 0
2024-03-14T03:24:35   113061  SEQ        Calibration  Cal         HB46                      2023-S1-UM-15                  110.2014   -59       5.0    0.000000   0.000000  322.2  30.2  0 0
2024-03-14T03:25:19   113062  SEQ        Science      Map(L/C)    HB46                      2023-S1-UM-15                  110.2014   -59    1570.2    0.000000   0.000000  322.2  30.1  0 0
2024-03-14T04:03:39   113063  SEQ        Science      Map(B/C)    HB46                      2023-S1-UM-15                  110.2014   -59    1570.6    0.000000   0.000000  321.6  24.5  0 0
2024-03-14T04:43:41   113064  SEQ        Calibration  Cal         HB46                      2023-S1-UM-15                  110.2014   -59       6.4    0.000000   0.000000  321.9  18.6  0 0
2024-03-14T04:44:18   113065  SEQ        Science      Map(B/C)    HB46                      2023-S1-UM-15                  110.2014   -59    1569.2    0.000000   0.000000  322.0  18.5  0 0
2024-08-22T09:28:00   120721  SEQ        Calibration  Cal         TX-Cam                    2023-S1-UM-15                   86.2434    12       5.0   75.213154  56.181693   34.7  32.2  239.76 0
2024-08-22T09:28:33   120722  SEQ        Pointing     Map(Az/D)   TX-Cam                    2023-S1-UM-15                   86.2434    12     126.9   75.213154  56.181693   34.7  32.4  239.76 0
2024-08-22T09:35:19   120723  SEQ        Calibration  Cal         HB60                      2023-S1-UM-15                  110.2014   -53       5.1    0.000000   0.000000   32.8  42.8  0 0
2024-08-22T09:35:54   120724  SEQ        Science      Map(L/C)    HB60                      2023-S1-UM-15                  110.2014   -53    2553.8    0.000000   0.000000   32.6  43.1  0 0
2024-08-22T10:32:24   120725  SEQ        Science      Map(B/C)    HB60                      2023-S1-UM-15                  110.2014   -53    2553.8    0.000000   0.000000   24.8  49.6  0 0
2024-08-22T11:31:09   120726  SEQ        Calibration  Cal         TX-Cam                    2023-S1-UM-15                   86.2434    12       5.0   75.213154  56.181693   23.3  46.9  239.76 0
2024-08-22T11:31:43   120727  SEQ        Pointing     Map(Az/D)   TX-Cam                    2023-S1-UM-15                   86.2434    12     126.4   75.213154  56.181693   23.1  47.0  239.76 0
2024-08-24T10:12:35   120846  SEQ        Calibration  Cal         TX-Cam                    2023-S1-UM-15                   86.2434    12       5.1   75.213154  56.181693   31.5  39.0  239.76 0
2024-08-24T10:13:09   120847  SEQ        Pointing     Map(Az/D)   TX-Cam                    2023-S1-UM-15                   86.2434    12     127.2   75.213154  56.181693   31.4  39.2  239.76 0
2024-08-24T10:19:11   120848  SEQ        Calibration  Cal         HB56                      2023-S1-UM-15                  110.2014   -55       5.0    0.000000   0.000000   26.0  47.5  0 0
2024-08-24T10:19:44   120849  SEQ        Science      Map(L/C)    HB56                      2023-S1-UM-15                  110.2014   -55    1563.1    0.000000   0.000000   25.7  47.7  0 0
2024-08-24T10:55:19   120850  SEQ        Science      Map(B/C)    HB56                      2023-S1-UM-15                  110.2014   -55     553.2    0.000000   0.000000   19.5  51.0  0 0
2024-08-25T09:40:34   120908  SEQ        Calibration  Cal         TX-Cam                    2023-S1-UM-15                   86.2434    12       5.0   75.213154  56.181693   33.5  35.5  239.76 0
2024-08-25T09:41:09   120909  SEQ        Pointing     Map(Az/D)   TX-Cam                    2023-S1-UM-15                   86.2434    12     126.7   75.213154  56.181693   33.4  35.6  239.76 0
2024-08-25T09:45:54   120910  SEQ        Calibration  Cal         TX-Cam                    2023-S1-UM-15                   86.2434    12       5.0   75.213154  56.181693   33.1  36.2  239.76 0
2024-08-25T09:46:27   120911  SEQ        Pointing     Map(Az/D)   TX-Cam                    2023-S1-UM-15                   86.2434    12     127.1   75.213154  56.181693   33.1  36.3  239.76 0
2024-08-25T09:52:31   120912  SEQ        Calibration  Cal         HB56                      2023-S1-UM-15                  110.2014   -55       5.0    0.000000   0.000000   29.1  45.0  0 0
2024-08-25T09:53:07   120913  SEQ        Science      Map(L/C)    HB56                      2023-S1-UM-15                  110.2014   -55    1563.4    0.000000   0.000000   28.9  45.2  0 0
2024-08-25T10:28:49   120914  SEQ        Science      Map(B/C)    HB56                      2023-S1-UM-15                  110.2014   -55    1563.2    0.000000   0.000000   23.6  49.0  0 0
2024-08-26T09:35:59   121009  SEQ        Calibration  Cal         TX-Cam                    2023-S1-UM-15                   86.2434    12       5.0   75.213154  56.181693   33.5  35.4  239.76 0
2024-08-26T09:36:35   121010  SEQ        Pointing     Map(Az/D)   TX-Cam                    2023-S1-UM-15                   86.2434    12     127.1   75.213154  56.181693   33.4  35.5  239.76 0
2024-08-26T09:47:09   121011  SEQ        Calibration  Cal         TX-Cam                    2023-S1-UM-15                   86.2434    12       5.0   75.213154  56.181693   32.9  36.7  239.76 0
2024-08-26T09:47:44   121012  SEQ        Pointing     Map(Az/D)   TX-Cam                    2023-S1-UM-15                   86.2434    12     127.6   75.213154  56.181693   32.7  37.0  239.76 0
2024-08-26T09:53:41   121013  SEQ        Calibration  Cal         HB60                      2023-S1-UM-15                  110.2014   -53       5.0    0.000000   0.000000   28.7  46.9  0 0
2024-08-26T09:54:16   121014  SEQ        Science      Map(L/C)    HB60                      2023-S1-UM-15                  110.2014   -53    2553.7    0.000000   0.000000   28.4  47.2  0 0
2024-08-29T09:54:53   121103  SEQ        Calibration  Cal         NV-Aur                    2023-S1-UM-15                   86.2434     3       5.0   77.831038  52.875895   36.7  38.0  239.76 0
2024-08-29T09:55:26   121104  SEQ        Pointing     Map(Az/D)   NV-Aur                    2023-S1-UM-15                   86.2434     3     126.0   77.831038  52.875895   35.9  39.5  239.76 0
2024-08-29T10:01:22   121105  SEQ        Pointing     Map(Az/D)   NV-Aur                    2023-S1-UM-15                   86.2434     3     126.3   77.831038  52.875895   35.5  40.3  239.76 0
2024-08-29T10:08:16   121106  SEQ        Calibration  Cal         HB103                     2023-S1-UM-15                  110.2014   -47       5.0    0.000000   0.000000   34.4  49.8  0 0
2024-08-29T10:08:54   121107  SEQ        Science      Map(L/C)    HB103                     2023-S1-UM-15                  110.2014   -47    2553.6    0.000000   0.000000   33.9  50.2  0 0
2024-08-29T11:08:01   121108  SEQ        Science      Map(B/C)    HB103                     2023-S1-UM-15                  110.2014   -47    2553.5    0.000000   0.000000   21.8  56.8  0 0
2024-08-29T12:07:44   121109  SEQ        Calibration  Cal         NV-Aur                    2023-S1-UM-15                   86.2434     3       5.0   77.831038  52.875895   16.0  54.0  239.76 0
2024-08-29T12:08:16   121110  SEQ        Pointing     Map(Az/D)   NV-Aur                    2023-S1-UM-15                   86.2434     3     126.1   77.831038  52.875895   15.8  54.0  239.76 0
2024-11-06T10:01:06   121943  SEQ        Calibration  Cal         TX-Cam                    2023-S1-UM-15                   86.2434    12       7.7   75.213154  56.181693  340.6  49.0  239.76 0
2024-11-06T10:01:56   121944  SEQ        Pointing     Map(Az/D)   TX-Cam                    2023-S1-UM-15                   86.2434    12     147.5   75.213154  56.181693  340.3  48.8  239.76 0
2024-11-06T10:08:22   121945  SEQ        Calibration  Cal         HB60                      2023-S1-UM-15                  110.2014   -53       5.7    0.000000   0.000000  327.4  43.0  0 0
2024-11-06T10:09:09   121946  SEQ        Science      Map(L/C)    HB60                      2023-S1-UM-15                  110.2014   -53    2566.0    0.000000   0.000000  327.3  42.9  0 0
2024-11-06T11:14:12   121947  SEQ        Science      Map(B/C)    HB60                      2023-S1-UM-15                  110.2014   -53    2566.4    0.000000   0.000000  322.5  34.0  0 0
2024-11-06T12:21:11   121948  SEQ        Calibration  Cal         TX-Cam                    2023-S1-UM-15                   86.2434    12       6.1   75.213154  56.181693  325.7  33.3  239.76 0
2024-11-06T12:21:58   121949  SEQ        Pointing     Map(Az/D)   TX-Cam                    2023-S1-UM-15                   86.2434    12     143.4   75.213154  56.181693  325.5  33.0  239.76 0
2024-11-08T09:58:30   122109  SEQ        Calibration  Cal         TX-Cam                    2023-S1-UM-15                   86.2434    12       5.0   75.213154  56.181693  339.7  48.5  239.76 0
2024-11-08T09:59:15   122110  SEQ        Pointing     Map(Az/D)   TX-Cam                    2023-S1-UM-15                   86.2434    12     145.9   75.213154  56.181693  339.4  48.4  239.76 0
2024-11-08T10:12:03   122111  SEQ        Calibration  Cal         TX-Cam                    2023-S1-UM-15                   86.2434    12       5.2   75.213154  56.181693  337.4  47.3  239.76 0
2024-11-08T10:12:48   122112  SEQ        Pointing     Map(Az/D)   TX-Cam                    2023-S1-UM-15                   86.2434    12     142.0   75.213154  56.181693  337.2  47.2  239.76 0
2024-11-08T10:18:22   122113  SEQ        Calibration  Cal         HB56                      2023-S1-UM-15                  110.2014   -55       6.1    0.000000   0.000000  327.4  41.1  0 0
2024-11-08T10:19:12   122114  SEQ        Science      Map(L/C)    HB56                      2023-S1-UM-15                  110.2014   -55    1577.1    0.000000   0.000000  327.3  41.0  0 0
2024-11-08T10:59:47   122115  SEQ        Science      Map(B/C)    HB56                      2023-S1-UM-15                  110.2014   -55    1576.7    0.000000   0.000000  324.3  35.5  0 0
